is_correct,candidate_id,bow_norm,jaccard_norm,order_norm,bm25_norm,cross_norm
1,4484,1.00000,0.38889,0.25610,0.77974,0.89999
0,2264249,0.27769,0.41176,0.25225,0.59207,0.36127
0,254974,0.19449,0.00000,0.00000,0.00000,0.28379
0,255502,0.17835,0.00000,0.00000,0.00000,0.14540
0,1285139,0.13696,0.35714,0.24823,0.59027,0.78170
0,1299890,0.07517,0.02509,0.03553,0.10340,0.03016
0,3424198,0.07086,0.53846,0.50000,0.65925,0.93027
0,2157564,0.05681,0.48611,0.48039,0.62370,0.75003
0,4360,0.05409,0.23649,0.17073,0.57487,0.33828
0,154223,0.02778,0.16204,0.11111,0.56529,0.31601
0,6947534,0.02156,0.00000,0.00000,0.00000,0.12571
0,4857182,0.02085,0.02461,0.02800,0.04739,0.00000
0,1247226,0.01554,0.00000,0.00000,0.00000,0.10788
0,4448909,0.01186,1.00000,1.00000,1.00000,0.87404
0,3014658,0.00000,0.48611,0.14286,0.59852,1.00000
1,1516,1.00000,0.31707,0.64793,0.63854,0.51716
0,50529,0.41301,0.32911,0.47609,0.76930,0.33202
0,13779046,0.27688,1.00000,1.00000,0.79265,0.15617
0,13250,0.26929,0.12074,0.15177,0.22383,0.03303
0,2456226,0.24965,0.00000,0.00000,0.00000,0.00000
0,36508,0.22779,0.17808,0.34272,0.28638,0.05170
0,66048,0.22432,0.06250,0.12500,0.12108,0.01417
0,11087496,0.21798,0.00000,0.00000,0.00000,0.01190
0,816983,0.20577,0.25871,0.26740,1.00000,0.18554
0,29007,0.16797,0.19259,0.21098,0.31556,0.12848
0,8142306,0.05922,0.00000,0.00000,0.00000,0.05363
0,65576,0.01932,0.18310,0.34984,0.70917,0.15635
0,54199,0.01368,0.22807,0.31197,0.64417,1.00000
0,1905,0.00517,0.22286,0.28740,0.53464,0.05083
0,28997,0.00000,0.30952,0.62931,0.93447,0.10370
1,542,1.00000,0.40566,1.00000,0.98674,1.00000
0,16842,0.97499,0.13830,0.21206,0.22461,0.47139
0,55517,0.20074,0.07143,0.51449,0.37969,0.08844
0,152,0.14601,0.20588,0.24388,0.11956,0.56755
0,84775,0.13450,1.00000,0.46476,0.19440,0.70770
0,66305,0.12057,0.05491,0.31099,0.12208,0.78899
0,66443,0.11118,0.10000,0.00000,0.09128,0.06090
0,66408,0.10702,0.00000,0.07484,0.00000,0.00000
0,35516,0.09003,0.62941,0.88170,0.30871,0.62835
0,67876,0.03525,0.46000,0.95763,0.17044,0.40082
0,63655,0.03398,0.51408,0.53636,0.04537,0.40270
0,41604,0.01746,0.70000,0.61179,1.00000,0.54447
0,10500909,0.01536,1.00000,0.80345,0.28298,0.10321
1,37844,0.00372,0.42308,0.41372,0.10713,0.80406
0,55514,0.00000,0.51053,0.41099,0.00910,0.01182
1,3801,1.00000,0.36605,0.20052,0.77502,0.79816
0,818505,0.57891,0.00000,0.00000,0.00000,0.00608
1,2728042,0.35701,0.65263,0.80769,1.00000,1.00000
0,815208,0.25391,0.05124,0.12919,0.04907,0.00186
0,47727,0.22701,0.00000,0.00000,0.00000,0.50766
0,3809,0.22081,0.00000,0.00000,0.00000,0.00000
0,3826,0.22081,0.00000,0.00000,0.00000,0.00080
0,3871,0.22081,0.00000,0.00000,0.00000,0.01419
0,1343753,0.06781,0.28289,0.40741,0.40356,0.15893
0,356991,0.04533,0.39241,0.49571,0.47506,0.39366
0,1664666,0.03400,0.00000,0.00000,0.00000,0.43147
0,821088,0.02711,0.26383,0.21751,0.36197,0.14750
0,12217185,0.02118,1.00000,1.00000,0.72674,0.37079
0,3864,0.01849,0.40325,0.44767,0.52009,0.72681
0,764766,0.00000,0.00000,0.00000,0.00000,0.41591
1,23327,1.00000,0.39597,0.35256,1.00000,1.00000
0,23289,0.16636,0.30870,0.15579,0.60176,0.68205
0,50463,0.13293,0.13244,0.09456,0.20311,0.08473
0,1905,0.07658,0.16503,0.06565,0.18238,0.07128
0,285,0.07503,0.17833,0.11656,0.27060,0.61449
0,77347,0.06719,0.07347,0.05906,0.08518,0.00046
0,829216,0.06447,0.12956,0.06835,0.22236,0.00000
0,815828,0.04976,0.00000,0.00000,0.00000,0.27222
0,814135,0.02652,0.00000,0.00000,0.00000,0.22373
0,13106689,0.02477,1.00000,1.00000,0.55046,0.89003
0,73156,0.01831,0.17358,0.12113,0.21976,0.55769
0,816297,0.01713,0.00000,0.00000,0.00000,0.00508
0,23781,0.00964,0.19156,0.04325,0.27644,0.37588
0,4130566,0.00305,0.89394,0.60833,0.53601,0.41210
0,16977,0.00000,0.04507,0.04828,0.05301,0.00736
1,6673025,1.00000,0.00000,0.00000,0.00000,0.24307
1,9012,0.97136,1.00000,1.00000,1.00000,1.00000
0,76588,0.11722,0.11252,0.08977,0.11570,0.06237
0,821670,0.06834,0.07946,0.02684,0.14477,0.00000
0,814921,0.05171,0.04816,0.07885,0.06642,0.00703
0,62127,0.03721,0.21734,0.09250,0.33581,0.25508
0,8624182,0.02082,0.00000,0.00000,0.00000,0.38913
0,36112,0.01309,0.10595,0.05401,0.08474,0.00285
0,156289,0.01154,0.00000,0.00000,0.00000,0.26080
0,21312,0.00920,0.11114,0.04218,0.22182,0.07759
0,10978,0.00332,0.20775,0.17033,0.11034,0.23893
0,816942,0.00170,0.10027,0.07635,0.18780,0.19802
0,48257,0.00053,0.18697,0.09323,0.24924,0.00864
0,827132,0.00053,0.18697,0.09323,0.24924,0.00864
0,170598,0.00000,0.27469,0.12775,0.26255,0.33881
1,6743,1.00000,0.35526,0.34951,0.36864,0.84732
0,3822964,0.72702,0.72000,0.75000,1.00000,0.91295
0,16945851,0.71942,0.00000,0.00000,0.00000,0.12887
0,6813,0.70086,0.07692,0.08333,0.14518,0.00000
0,6752,0.49578,0.69231,0.82759,0.29730,0.31239
0,73987,0.14877,0.11947,0.03561,0.36716,0.84058
0,11743558,0.10186,0.69231,0.66667,0.54483,0.87301
0,11064343,0.08386,1.00000,1.00000,0.57437,1.00000
0,11754628,0.07226,0.00000,0.00000,0.00000,0.07047
0,11256465,0.05591,0.62791,0.61017,0.46913,0.97429
0,1947072,0.04431,0.15976,0.09449,0.32386,0.64599
0,2269994,0.02795,0.00000,0.00000,0.00000,0.04389
0,14970086,0.02795,0.00000,0.00000,0.00000,0.01905
0,1947069,0.00888,0.00000,0.00000,0.00000,0.00895
0,550906,0.00000,0.17881,0.05530,0.39919,0.33134
1,25068,1.00000,0.05612,0.05556,0.04666,0.01030
0,7257682,0.38627,1.00000,1.00000,0.31163,0.01126
0,50323,0.31895,0.24336,0.18377,0.68379,0.36294
0,7169703,0.25781,0.70968,0.31897,0.81393,1.00000
0,16414787,0.12260,0.76389,0.57216,0.68839,0.95093
0,48304,0.09446,0.42581,0.08150,0.52749,0.65280
0,3449744,0.07526,0.13174,0.07645,0.11560,0.00480
0,1797393,0.06666,0.00000,0.00000,0.00000,0.01440
0,2440114,0.05458,0.45833,0.60326,0.42516,0.00567
0,1808463,0.04629,0.36424,0.18593,0.43630,0.30304
0,5245531,0.03783,0.00000,0.00000,0.00000,0.02690
0,1748966,0.02883,0.00000,0.00000,0.00000,0.00000
0,10004381,0.02520,0.51402,0.26619,0.62183,0.24413
0,14718853,0.01397,0.75342,0.75510,1.00000,0.19313
0,586168,0.00000,0.79710,0.41111,0.52267,0.42569
0,471948,1.00000,1.00000,0.75000,1.00000,0.93849
0,822643,0.96220,0.00000,0.00000,0.00000,0.00448
0,285710,0.79085,0.00000,0.00000,0.00000,0.10234
0,822468,0.79085,0.35780,0.27083,0.43111,0.46222
0,9743694,0.79085,0.00000,0.00000,0.00000,0.04771
0,13696200,0.68863,0.00000,0.00000,0.00000,0.01975
0,71361,0.59498,0.36364,0.08515,0.40271,1.00000
0,12109254,0.59498,0.86667,1.00000,0.66996,0.78127
0,7653623,0.35378,0.00000,0.00000,0.00000,0.05058
0,11670142,0.35378,0.00000,0.00000,0.00000,0.07825
0,7675256,0.26013,0.00000,0.00000,0.00000,0.04504
0,316903,0.25298,0.00000,0.00000,0.00000,0.00000
0,303331,0.20915,0.70270,0.80412,0.92249,0.77846
0,3302740,0.01893,0.00000,0.00000,0.00000,0.01264
0,25632,0.00000,0.72222,0.62903,0.64723,0.69670
1,14260,1.00000,0.12836,0.22022,0.36133,0.11973
0,832441,0.94692,0.00000,0.00000,0.00000,0.05143
0,1846036,0.79854,0.19111,0.38431,0.21204,0.04717
0,820358,0.42103,0.24928,0.40552,0.07956,0.02868
0,828383,0.38853,0.65792,0.27801,1.00000,1.00000
0,3087684,0.38853,0.49143,0.30388,0.41619,0.93792
0,6653102,0.37570,0.60993,1.00000,0.38406,0.93461
0,8842727,0.33297,0.00000,0.00000,0.00000,0.02018
